Stage,Channel,Amplitude,NrClipsWithSpikes,SOZ
N3,ldh1,2.5798121413225283e-06,52,0
N3,ldh10,8.640538470919409e-06,52,0
N3,ldh2,2.6293579379059385e-05,52,1
N3,ldh3,2.9946648880097394e-05,52,1
N3,ldh4,1.484284014409616e-05,52,1
N3,ldh5,1.5340542475665238e-05,52,1
N3,ldh6,1.2992790484660104e-05,52,1
N3,ldh7,8.647011307547872e-06,52,1
N3,ldh8,7.170452098436381e-06,52,1
N3,ldh9,7.92068930793682e-06,52,1
N3,lg1,1.004842123452024e-05,52,0
N3,lg10,7.934502261473616e-06,52,0
N3,lg11,5.572015047087645e-06,52,0
N3,lg12,7.346060807553706e-06,52,0
N3,lg13,5.027204086945833e-06,52,0
N3,lg14,5.075181011128536e-06,52,0
N3,lg15,5.626795162629135e-06,52,0
N3,lg16,5.565406218133191e-06,52,0
N3,lg17,7.033893723248423e-06,52,0
N3,lg18,1.2276039836087526e-05,52,0
N3,lg19,9.02423806587657e-06,52,0
N3,lg2,9.050671687510816e-06,52,0
N3,lg20,9.12436170820215e-06,52,0
N3,lg21,7.402149082865265e-06,52,0
N3,lg22,7.671497725725613e-06,52,0
N3,lg23,9.150359426105902e-06,52,0
N3,lg24,6.499085664377118e-06,52,0
N3,lg25,1.3422041356892413e-05,52,0
N3,lg26,6.151529963784232e-06,52,0
N3,lg27,1.1148017827016893e-05,52,0
N3,lg28,1.226716913796158e-05,52,0
N3,lg29,7.457944285588681e-06,52,0
N3,lg3,3.87455597400205e-06,52,0
N3,lg30,5.627461971459789e-06,52,0
N3,lg31,8.08869847202497e-06,52,0
N3,lg32,5.421754394009919e-06,52,0
N3,lg4,3.745613999596876e-06,52,0
N3,lg5,4.257229515787398e-06,52,0
N3,lg6,5.643073333934286e-06,52,0
N3,lg7,6.430163986176617e-06,52,0
N3,lg8,6.5585374516533466e-06,52,0
N3,lg9,1.424838347276619e-05,52,0
N3,ltba1,6.956864046641882e-06,52,0
N3,ltba2,8.219301594520358e-06,52,0
N3,ltba3,1.1985298564188917e-05,52,0
N3,ltba4,9.873061017546749e-06,52,0
N3,ltbb1,7.290359134302717e-06,52,0
N3,ltbb2,6.700357305011528e-06,52,0
N3,ltbb3,8.377953873156158e-06,52,0
N3,ltbb4,5.862551273179612e-06,52,0
N3,ltbc1,7.1547702762316295e-06,52,0
N3,ltbc2,5.63819103334071e-06,52,0
N3,ltbc3,1.267211991690832e-05,52,0
N3,ltbc4,1.188379557634919e-05,52,0
N3,ltbc5,6.886026250281747e-06,52,0
N3,ltbc6,5.13379451053154e-06,52,0
N3,ltp1,7.266252301220035e-06,52,0
N3,ltp2,1.0432839958384069e-05,52,0
N3,ltp3,7.683468735116191e-06,52,0
N3,ltp4,5.646507843303869e-06,52,0
N3,rdha1,1.9978761268064304e-05,52,0
N3,rdha2,1.2779009184900286e-05,52,0
N3,rdha3,7.749998027298478e-06,52,0
N3,rdha4,1.1482210499364412e-05,52,0
N3,rdha5,1.683195148071597e-05,52,0
N3,rdhm1,1.724857742489425e-05,52,0
N3,rdhm2,3.526379641862879e-05,52,0
N3,rdhm3,8.699097972889725e-06,52,0
N3,rdhm4,8.67031191607738e-06,52,0
N3,rdhm5,6.773984474575285e-06,52,0
N3,rdhp1,8.740352225630201e-06,52,0
N3,rdhp2,8.606166528889159e-06,52,0
N3,rdhp3,7.4558354111171655e-06,52,0
N3,rdhp4,1.1027322977423145e-05,52,0
N3,rdhp5,3.1827972120854083e-06,52,0
N2,ldh1,9.568587625429609e-06,52,0
N2,ldh10,6.829926578265537e-06,52,0
N2,ldh2,3.389230527447615e-05,52,1
N2,ldh3,4.43319646846682e-05,52,1
N2,ldh4,1.7348528611539297e-05,52,1
N2,ldh5,1.524699089338891e-05,52,1
N2,ldh6,1.1374345461619499e-05,52,1
N2,ldh7,7.778189413949232e-06,52,1
N2,ldh8,5.686210184183718e-06,52,1
N2,ldh9,6.509643107284888e-06,52,1
N2,lg1,7.597112553855969e-06,52,0
N2,lg10,6.228192468121129e-06,52,0
N2,lg11,4.010124692479919e-06,52,0
N2,lg12,5.087371196842572e-06,52,0
N2,lg13,3.6158946517571383e-06,52,0
N2,lg14,3.662233040433231e-06,52,0
N2,lg15,4.285227015521619e-06,52,0
N2,lg16,4.73070468213145e-06,52,0
N2,lg17,6.47496028223293e-06,52,0
N2,lg18,8.887031156110457e-06,52,0
N2,lg19,6.9588425175216285e-06,52,0
N2,lg2,6.200484346535519e-06,52,0
N2,lg20,6.631324727737874e-06,52,0
N2,lg21,5.144281248052109e-06,52,0
N2,lg22,4.790132233723023e-06,52,0
N2,lg23,6.425682945233861e-06,52,0
N2,lg24,4.752874336127255e-06,52,0
N2,lg25,1.1595946972462024e-05,52,0
N2,lg26,5.998485015381731e-06,52,0
N2,lg27,9.263923277148725e-06,52,0
N2,lg28,1.0037151359052074e-05,52,0
N2,lg29,5.373905487665434e-06,52,0
N2,lg3,2.837633133477056e-06,52,0
N2,lg30,4.0538175540185085e-06,52,0
N2,lg31,5.061526076463896e-06,52,0
N2,lg32,4.0907077097734906e-06,52,0
N2,lg4,2.67672790826137e-06,52,0
N2,lg5,2.884249473499767e-06,52,0
N2,lg6,4.552471528728395e-06,52,0
N2,lg7,4.469510238678817e-06,52,0
N2,lg8,5.514896381748439e-06,52,0
N2,lg9,1.0708727202566137e-05,52,0
N2,ltba1,5.802580132415696e-06,52,0
N2,ltba2,1.0664611190310829e-05,52,0
N2,ltba3,2.428088626286632e-05,52,0
N2,ltba4,8.563925292371504e-06,52,0
N2,ltbb1,5.687707879668295e-06,52,0
N2,ltbb2,4.7068028292610695e-06,52,0
N2,ltbb3,5.651013668734261e-06,52,0
N2,ltbb4,3.7233062316173026e-06,52,0
N2,ltbc1,7.6497383528617e-06,52,0
N2,ltbc2,5.728078584615285e-06,52,0
N2,ltbc3,1.090373033610959e-05,52,0
N2,ltbc4,9.105572895421845e-06,52,0
N2,ltbc5,5.463123417228549e-06,52,0
N2,ltbc6,4.132351553976446e-06,52,0
N2,ltp1,7.696394560672206e-06,52,0
