Stage,Channel,Amplitude,NrClipsWithSpikes,SOZ
N3,fba1,4.309066940834733e-05,52,0
N3,fba2,4.359580151002137e-05,52,0
N3,fba3,5.38382413236311e-05,52,0
N3,fba4,3.214152476392741e-05,52,0
N3,fbb1,3.482993600794674e-05,52,0
N3,fbb2,2.9592527421015262e-05,52,0
N3,fbb3,3.581473141630299e-05,52,0
N3,fbb4,3.65250236937859e-05,52,0
N3,fl1,3.4354769688245204e-05,52,0
N3,fl2,3.654500943077672e-05,52,0
N3,fl3,6.665669020238225e-05,52,0
N3,fl4,6.52581781422538e-05,52,0
N3,fl5,4.173472004148289e-05,52,0
N3,fl6,8.223632218841751e-05,52,0
N3,ga1,5.261064409528558e-05,52,0
N3,ga2,7.400453586219012e-05,52,0
N3,ga3,4.3243923634754216e-05,52,0
N3,ga4,4.568038203591427e-05,52,0
N3,ga5,3.59744100757408e-05,52,0
N3,ga6,5.608353177707802e-05,52,0
N3,ga7,4.056492178746904e-05,52,0
N3,gb1,0.00012594124582621598,52,0
N3,gb2,5.357768690522635e-05,52,0
N3,gb3,7.863999055472679e-05,52,0
N3,gb4,7.118139196127033e-05,52,0
N3,gb5,6.218247830930625e-05,52,0
N3,gb6,6.25672177927194e-05,52,0
N3,gb7,5.3820901514179446e-05,52,0
N3,gc1,0.00017611901016303483,52,0
N3,gc2,0.00012325112013394538,52,0
N3,gc3,5.104053692977146e-05,52,0
N3,gc4,6.820828706496478e-05,52,0
N3,gc5,5.135729156659225e-05,52,0
N3,gc6,5.8253166347464204e-05,52,0
N3,gc7,4.852288553618835e-05,52,0
N3,gd1,8.42548909164218e-05,52,0
N3,gd2,0.0001289642617355034,52,0
N3,gd3,7.126299474688157e-05,52,0
N3,gd4,5.5295996955987645e-05,52,0
N3,gd5,4.9208249328649077e-05,52,0
N3,gd6,4.058032226375196e-05,52,0
N3,gd7,4.615466273786774e-05,52,0
N3,ge1,4.032908649447651e-05,52,0
N3,ge2,0.00010298455065452906,52,0
N3,ge3,8.808815234849309e-05,52,0
N3,ge4,6.158086173876085e-05,52,0
N3,ge5,3.7520588124501756e-05,52,0
N3,ge6,3.8435560350064195e-05,52,0
N3,ge7,3.732849244096794e-05,52,0
N3,gf1,6.0405044504343355e-05,52,0
N3,gf2,5.4897422694178514e-05,52,0
N3,gf3,5.26645610019982e-05,52,0
N3,gf4,3.451152699227203e-05,52,1
N3,gf5,3.3927225279218784e-05,52,0
N3,gf6,3.440132968155139e-05,52,0
N3,gf7,4.374151114303508e-05,52,0
N3,gg1,6.785168359930638e-05,52,1
N3,gg2,5.308857918771944e-05,52,1
N3,gg3,6.173036279513507e-05,52,1
N3,gg4,2.9970109280023062e-05,52,1
N3,gg5,2.4054832285824647e-05,52,0
N3,gg6,3.995581082705781e-05,52,0
N3,gg7,5.074383037683324e-05,52,0
